disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_ratror,st_teff,sy_dist
2016,1,0,0,0,0,0,0,0,0,0,153.22,0.576,,337.21763,0.001,,,,4649,768.045
2013,1,0,0,0,0,0,0,0,0,0,137.48,0.539,,352.78,0.26,,,,4796,426.42
2009,1,0,0,0,0,0,0,0,0,0,379.63,1.05,,17668.1697,0.15,,,,4259,1539.71
2009,1,0,0,0,0,0,0,0,0,0,379.63,1.45,,6807.63,0.15,,,,4137,1539.71
2009,1,0,0,0,0,0,0,0,0,0,621.99,2.01,,3963.17,0.18,,,,4137,1539.71
2012,1,0,0,0,0,0,0,0,0,0,578.2,1.3,,1334.886,0.21,,,,4296,1322.51
2016,1,0,0,1,0,0,0,0,0,0,41.688644,,2.355,,,,,0.02259,5703,179.461
2016,1,0,0,1,0,0,0,0,0,0,41.6855,0.241,2.23,16.3,0,,546,0.02204,5766,179.461
2016,1,0,0,1,0,0,0,0,0,0,41.6855,,2.578,22.2481,0,,,,5766,179.461
2021,1,0,0,0,0,0,0,0,0,0,307.88,0.83,,432.24663,0.12,,,,5004,53.622
2011,1,0,0,0,0,0,0,0,0,0,392.6,1,,289.2253,0.2,,,,4414,871.493
2018,1,0,0,0,0,0,0,0,0,0,733,1.7,,540.311,0.76,,,,4534,666.589
2015,1,0,0,0,0,0,0,0,0,0,2590,4.2,,508.5,0.35,,,,4943,442.042
2021,1,0,0,0,0,0,0,0,0,0,265.59,0.78,,228.83645,0.27,,,,5012,52.5697
2021,0,0,0,0,0,0,0,0,1,0,,1662,14.684,4767.4261,,,1303,,4993,44.9543
2021,1,0,0,0,0,0,0,0,0,0,1198.48,2.06,,1258.60049,0.88,,,,5000,38.0473
2021,1,0,0,0,0,0,0,0,0,0,723.2,1.48,,7961.6016,0.39,,,,5040,42.6402
2013,1,0,0,0,0,0,0,0,0,0,3.8728,0.0428,,8.5,0,,,,4324,20.2695
2013,1,0,0,0,0,0,0,0,0,0,125.94,0.435,,53,0.31,,,,4324,20.2695
2009,1,0,0,0,0,0,0,0,0,0,5.6,0.056,,14.4,0.15,,,,4746,41.3342
2009,1,0,0,0,0,0,0,0,0,0,5.6,0.06,,12.7132,0.15,,,,4816,41.3342
2009,1,0,0,0,0,0,0,0,0,0,237.6,0.68,,104,0.19,,,,4746,41.3342
2000,1,0,0,0,0,0,0,0,0,0,3.487,0.046,,152.55,0.05,,,,5400,84.4069
2000,1,0,0,0,0,0,0,0,0,0,3.48777,0.04,,187.5197,0.02,,,,5393,84.4069
2000,1,0,0,0,0,0,0,0,0,0,3.487905,0.045,,142.70495,0.022,,,,5382.64,84.4069
2000,1,0,0,0,0,0,0,0,0,0,3.48777,0.0452,,145.56,0.019,,,,5393,84.4069
2014,1,0,0,0,0,0,0,0,0,0,1667,2.28,,168.44,0.05,,,,4475,27.1665
2014,1,0,0,0,0,0,0,0,0,0,1634,2.36,,206.5895,0.05,,,,4550,27.1665
2020,1,0,0,0,0,0,0,0,0,0,74.2,0.3,,15.37,0.4,,,,4550,27.1665
2007,1,0,0,0,0,0,0,0,0,0,714.3,2.1,,3368.998,0.21,,,,,925.214
2007,1,0,0,0,0,0,0,0,0,0,714.29999,1.66,,3108.3774,0.21,,,,4545,925.214
2008,1,0,0,0,0,0,0,0,0,0,655.6,1.34,,1620.9,0.54,,,,4714,34.4603
2008,1,0,0,0,0,0,0,0,0,0,655.59998,1.34,,905.8155,0.54,,,,4665,34.4603
2020,1,0,0,0,0,0,0,0,0,0,2.2907,0.0185,,3.95,,8.6,464,,3130,8.60715
2011,0,0,0,0,0,0,0,0,1,0,10037.5,2.6,,3337.1,,,370,,580.5,
2021,0,0,0,0,0,0,0,0,1,0,8040000,200,20.849,2479.06157,,,1800,,2320,
2006,0,0,0,0,0,0,0,0,1,0,,210,,3994.486,,,,,,190.374
2019,1,0,0,0,0,0,0,0,0,0,8.9891,,,3686.828,0.25,,,,,157.998
2021,0,0,0,0,0,0,0,0,1,0,402000000,7506,12.442,2002.31896,,,434,,3406,10.8864
2007,0,0,0,0,0,0,0,0,1,0,,440,24.66,5403,,,2600,,,190.72
2008,1,0,0,1,0,1,0,0,0,0,1.5089557,,16.7,327.35,0,,1898,0.1388,5950,787.909
2008,1,0,0,1,0,1,0,0,0,0,1.50897655,0.0259,15.917,340.0781,0.071,,1834,0.1381,5950,787.909
2008,1,0,0,1,0,1,0,0,0,0,1.5089686,0.02536,17.385,327.3649,,,1915,,5950,787.909
2008,1,0,0,1,0,1,0,0,0,0,1.5089682,0.02752,19.223,390.9309,0.036,,,,6298,787.909
2008,1,0,0,1,0,1,0,0,0,0,1.5089557,0.0261,16.589,359.1479,0,,,,5950,787.909
2008,1,0,0,1,0,1,0,0,0,0,1.50896877,,,,,,,,,787.909
2008,1,0,0,1,0,1,0,0,0,0,1.5089635,,20.594,,,2852.63,2036,,5950,787.909
2010,1,0,0,1,0,0,0,0,0,0,13.2406,0.106,10.548,883.5674,,,647,,5075,338.386
2010,1,0,0,1,0,0,0,0,0,0,13.2406,0.1055,10.873,867.6759,0.524,,,,5075,338.386
