hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,sy_dist
TOI-431,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.490047,0.0113,1.28,1862,32.5686
TOI-431,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.49005894,,1.474,1731,32.5686
TOI-431,1,Radial Velocity,2021,Transiting Exoplanet Survey Satellite (TESS),4.8494,0.052,,867,32.5686
TOI-431,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),12.46100864,,3.281,589,32.5686
TOI-431,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),12.46103,0.098,3.29,633,32.5686
TOI-4329,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.9223,,16.813,,717.128
TOI-4329,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.92230622,,19.654,2027,717.128
TOI-4342,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),5.5382498,0.05251,2.266,634,61.5204
TOI-4342,0,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),5.538329,,2.272,585,61.5204
TOI-4342,0,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),10.68860835,,2.464,470,61.5204
TOI-4342,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),10.688716,0.0814,2.415,509,61.5204
TOI-4479,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1.15871222,,2.649,782,80.6532
TOI-4479,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1.1589,0.0164,2.82,861,80.6532
TOI-451,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.85866242,,1.932,1310,123.739
TOI-451,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.858703,0.0283,1.91,1491,123.739
TOI-451,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),9.19107915,,2.725,769,123.739
TOI-451,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),9.192522,0.0823,3.1,875,123.739
TOI-451,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),16.364988,0.1208,4.07,722,123.739
TOI-451,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),16.36487304,,3.925,634,123.739
TOI-4562,0,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),225.1301333,,13.36,341,339.605
TOI-4562,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),225.11781,0.768,12.53,318,339.605
TOI-4582,0,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),31.0345576,,8.9,815,383.846
TOI-4582,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),31.034,,10.536,,383.846
TOI-481,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.33111,0.097,11.097,1370,179.366
TOI-481,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.3311562,,,,179.366
TOI-481,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.33115642,,11.794,1097,179.366
TOI-500,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.548177,0.01189,1.166,1617,47.3924
TOI-500,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.54815511,,1.295,1577,47.3924
TOI-500,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.5481579,0.0128,1.16,1693,47.3924
