hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,sy_dist
Kepler-253,0,Transit,2014,Kepler,,,1.791,,838.595
Kepler-253,0,Transit,2014,Kepler,3.78402867,,,,838.595
Kepler-253,0,Transit,2014,Kepler,3.78402353,,,,838.595
Kepler-253,0,Transit,2014,Kepler,3.78403393,0.0455,1.69,959,838.595
Kepler-253,0,Transit,2014,Kepler,10.28192877,0.0885,2.7,687,838.595
Kepler-253,1,Transit,2014,Kepler,10.281951,0.089,2.65,,838.595
Kepler-253,0,Transit,2014,Kepler,10.28193397,,,,838.595
Kepler-253,0,Transit,2014,Kepler,10.28203415,,,,838.595
Kepler-253,0,Transit,2014,Kepler,10.28194593,0.088,2.53,680,838.595
Kepler-253,0,Transit,2014,Kepler,10.28194593,,,,838.595
Kepler-253,0,Transit,2014,Kepler,10.281925,0.086,2.5,652,838.595
Kepler-253,0,Transit,2014,Kepler,10.28192877,0.0885,2.7,687,838.595
Kepler-253,0,Transit,2014,Kepler,10.28192877,0.0885,2.7,687,838.595
Kepler-253,0,Transit,2014,Kepler,10.28192877,,2.75,,838.595
Kepler-253,0,Transit,2014,Kepler,,,2.656,,838.595
Kepler-253,0,Transit,2014,Kepler,18.11978,0.126,2.9,538,838.595
Kepler-253,1,Transit,2014,Kepler,18.119869,0.13,3.17,,838.595
Kepler-253,0,Transit,2014,Kepler,18.11990868,,,,838.595
Kepler-253,0,Transit,2014,Kepler,18.11989364,0.1291,3.17,569,838.595
Kepler-253,0,Transit,2014,Kepler,18.11993039,,,,838.595
Kepler-253,0,Transit,2014,Kepler,18.11989364,,3.29,,838.595
Kepler-253,0,Transit,2014,Kepler,18.11989941,,,,838.595
Kepler-253,0,Transit,2014,Kepler,18.11993039,0.1284,2.95,563,838.595
Kepler-253,0,Transit,2014,Kepler,,,3.098,,838.595
Kepler-253,0,Transit,2014,Kepler,18.11989364,0.1291,3.17,569,838.595
Kepler-253,0,Transit,2014,Kepler,18.11989364,0.1291,3.17,569,838.595
Kepler-254,0,Transit,2014,Kepler,5.826659,0.064,4,994,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82665751,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82665919,0.0629,3.68,983,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82665919,0.0629,3.68,983,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82665582,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,,,3.594,,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82665919,,3.73,,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82666349,,,,1389.48
Kepler-254,1,Transit,2014,Kepler,5.826662,0.064,3.87,,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82665919,0.0629,3.68,983,1389.48
Kepler-254,0,Transit,2014,Kepler,5.82665751,0.0622,4.09,1013,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41217869,,2.37,,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41217869,0.1041,2.28,764,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41216347,0.103,2.58,787,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41199824,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41234157,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41211,0.106,2.52,772,1389.48
Kepler-254,0,Transit,2014,Kepler,,,2.264,,1389.48
Kepler-254,1,Transit,2014,Kepler,12.412183,0.105,2.15,,1389.48
Kepler-254,0,Transit,2014,Kepler,12.412,,2.09,,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41217869,0.1041,2.28,764,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41216347,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,12.41217869,0.1041,2.28,764,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74653971,,2.65,,1389.48
Kepler-254,0,Transit,2014,Kepler,18.7462415,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,18.746,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74649011,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74656,0.139,2.89,674,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74638647,,,,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74653971,0.137,2.6,666,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74653971,0.137,2.6,666,1389.48
Kepler-254,0,Transit,2014,Kepler,,,2.676,,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74649011,0.1355,3.05,686,1389.48
Kepler-254,1,Transit,2014,Kepler,18.746477,0.139,2.5,,1389.48
Kepler-254,0,Transit,2014,Kepler,18.74653971,0.137,2.6,666,1389.48
Kepler-255,0,Transit,2014,Kepler,5.71465729,,,,1052.53
Kepler-255,0,Transit,2014,Kepler,5.71462004,0.0628,1.55,923,1052.53
Kepler-255,0,Transit,2014,Kepler,5.71442,0.06,1.61,878,1052.53
Kepler-255,0,Transit,2014,Kepler,5.71462396,0.0597,1.78,971,1052.53
Kepler-255,0,Transit,2014,Kepler,5.71462004,0.0628,1.55,923,1052.53
Kepler-255,0,Transit,2014,Kepler,5.71462396,,,,1052.53
Kepler-255,0,Transit,2014,Kepler,5.71462004,0.0628,1.55,923,1052.53
Kepler-255,0,Transit,2014,Kepler,5.71462004,,1.51,,1052.53
Kepler-255,1,Transit,2014,Kepler,5.714606,0.063,1.55,,1052.53
Kepler-255,0,Transit,2014,Kepler,,,1.622,,1052.53
Kepler-255,0,Transit,2014,Kepler,9.94603603,,2.92,,1052.53
Kepler-255,0,Transit,2014,Kepler,,,2.853,,1052.53
Kepler-255,0,Transit,2014,Kepler,9.94603603,0.0908,3.01,768,1052.53
Kepler-255,0,Transit,2014,Kepler,9.946049,0.087,2.9,729,1052.53
Kepler-255,0,Transit,2014,Kepler,9.94603603,0.0908,3.01,768,1052.53
Kepler-255,1,Transit,2014,Kepler,9.946047,0.092,2.99,,1052.53
Kepler-255,0,Transit,2014,Kepler,9.94603603,0.0908,3.01,768,1052.53
Kepler-255,0,Transit,2014,Kepler,9.94602357,,,,1052.53
Kepler-255,0,Transit,2014,Kepler,9.94602357,0.0864,3.12,807,1052.53
Kepler-255,0,Transit,2014,Kepler,9.94603588,,,,1052.53
Kepler-255,0,Transit,2014,Kepler,9.9460118,,,,1052.53
Kepler-255,0,Transit,2016,Kepler,1.04562195,,,,1052.53
Kepler-255,0,Transit,2016,Kepler,1.04562266,0.0202,1.37,1628,1052.53
Kepler-255,0,Transit,2016,Kepler,1.04562195,0.0192,1.45,1710,1052.53
Kepler-255,0,Transit,2016,Kepler,1.045632,0.019,1.28,1561,1052.53
Kepler-255,0,Transit,2016,Kepler,1.04560643,,,,1052.53
Kepler-255,1,Transit,2016,Kepler,1.04562266,,1.32,,1052.53
Kepler-255,0,Transit,2016,Kepler,,,1.323,,1052.53
Kepler-255,0,Transit,2016,Kepler,1.04562266,0.0202,1.37,1628,1052.53
Kepler-255,0,Transit,2016,Kepler,1.04562266,0.0202,1.37,1628,1052.53
Kepler-256,0,Transit,2014,Kepler,1.62046784,,1.6,,1026.43
Kepler-256,0,Transit,2014,Kepler,,,1.236,,1026.43
Kepler-256,1,Transit,2014,Kepler,1.620493,0.027,1.59,,1026.43
Kepler-256,0,Transit,2014,Kepler,1.62046765,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,1.620436,0.027,1.11,1487,1026.43
Kepler-256,0,Transit,2014,Kepler,1.62046784,0.0277,1.37,1545,1026.43
Kepler-256,0,Transit,2014,Kepler,1.62046784,0.0277,1.37,1545,1026.43
Kepler-256,0,Transit,2014,Kepler,1.6204791,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,1.62046784,0.0277,1.37,1545,1026.43
Kepler-256,0,Transit,2014,Kepler,1.62046765,0.0265,1.57,1681,1026.43
Kepler-256,0,Transit,2014,Kepler,3.38801185,,2.1,,1026.43
Kepler-256,0,Transit,2014,Kepler,,,1.662,,1026.43
Kepler-256,0,Transit,2014,Kepler,3.38801224,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,3.38801224,0.0434,2.11,1315,1026.43
Kepler-256,0,Transit,2014,Kepler,3.38801185,0.0453,1.79,1209,1026.43
Kepler-256,0,Transit,2014,Kepler,3.38801185,0.0453,1.79,1209,1026.43
Kepler-256,0,Transit,2014,Kepler,3.388008,0.044,1.54,1165,1026.43
Kepler-256,0,Transit,2014,Kepler,3.38801185,0.0453,1.79,1209,1026.43
Kepler-256,1,Transit,2014,Kepler,3.38802,0.045,2.15,,1026.43
Kepler-256,0,Transit,2014,Kepler,3.38798651,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,5.83908991,0.0651,1.65,1008,1026.43
Kepler-256,0,Transit,2014,Kepler,5.83909761,0.0624,2.06,1097,1026.43
Kepler-256,0,Transit,2014,Kepler,5.839061,0.063,1.54,973,1026.43
Kepler-256,0,Transit,2014,Kepler,5.83908991,0.0651,1.65,1008,1026.43
Kepler-256,0,Transit,2014,Kepler,5.83914257,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,5.83908991,0.0651,1.65,1008,1026.43
Kepler-256,0,Transit,2014,Kepler,5.83909761,,,,1026.43
Kepler-256,1,Transit,2014,Kepler,5.839172,0.064,2.48,,1026.43
Kepler-256,0,Transit,2014,Kepler,5.83908991,,2,,1026.43
Kepler-256,0,Transit,2014,Kepler,,,1.625,,1026.43
Kepler-256,1,Transit,2014,Kepler,10.681572,0.096,2.35,,1026.43
Kepler-256,0,Transit,2014,Kepler,10.6816951,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,10.6817188,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,10.68164811,,,,1026.43
Kepler-256,0,Transit,2014,Kepler,10.68167916,,2.14,,1026.43
Kepler-256,0,Transit,2014,Kepler,,,1.812,,1026.43
Kepler-256,0,Transit,2014,Kepler,10.68176,0.095,1.62,793,1026.43
Kepler-256,0,Transit,2014,Kepler,10.6816951,0.0933,2.3,897,1026.43
Kepler-256,0,Transit,2014,Kepler,10.68167916,0.0973,1.8,825,1026.43
Kepler-256,0,Transit,2014,Kepler,10.68167916,0.0973,1.8,825,1026.43
Kepler-256,0,Transit,2014,Kepler,10.68167916,0.0973,1.8,825,1026.43
Kepler-257,1,Transit,2014,Kepler,2.382667,0.034,2.61,,780.256
Kepler-257,0,Transit,2014,Kepler,2.38264321,,,,780.256
Kepler-257,0,Transit,2014,Kepler,2.38265217,0.0333,2.67,1237,780.256
Kepler-257,0,Transit,2014,Kepler,2.38265287,0.0333,2.74,1237,780.256
Kepler-257,0,Transit,2014,Kepler,2.382666,0.032,2,1079,780.256
Kepler-257,0,Transit,2014,Kepler,2.38265287,,,,780.256
Kepler-257,0,Transit,2014,Kepler,2.38265217,,2.22,,780.256
Kepler-257,0,Transit,2014,Kepler,2.38265217,0.0333,2.67,1237,780.256
Kepler-257,0,Transit,2014,Kepler,2.38265217,0.0333,2.67,1237,780.256
Kepler-257,0,Transit,2014,Kepler,2.38265264,,,,780.256
Kepler-257,0,Transit,2014,Kepler,6.58147855,,,,780.256
Kepler-257,0,Transit,2014,Kepler,6.58147884,0.0656,4.77,881,780.256
Kepler-257,0,Transit,2014,Kepler,6.58147884,0.0656,4.77,881,780.256
Kepler-257,1,Transit,2014,Kepler,6.581484,0.066,5.41,,780.256
Kepler-257,0,Transit,2014,Kepler,6.58147714,,,,780.256
Kepler-257,0,Transit,2014,Kepler,6.58147714,0.0656,4.56,881,780.256
Kepler-257,0,Transit,2014,Kepler,6.58147884,,3.99,,780.256
Kepler-257,0,Transit,2014,Kepler,6.58147884,0.0656,4.77,881,780.256
Kepler-257,0,Transit,2014,Kepler,6.58148439,,,,780.256
Kepler-257,0,Transit,2014,Kepler,6.581501,0.062,3.4,775,780.256
Kepler-257,0,Transit,2014,Kepler,24.66461416,0.1582,5.34,567,780.256
Kepler-257,1,Transit,2014,Kepler,24.664551,0.16,4.95,,780.256
Kepler-257,0,Transit,2014,Kepler,24.66454,0.15,4.2,498,780.256
Kepler-257,0,Transit,2014,Kepler,24.66459711,0.1582,5.67,568,780.256
Kepler-257,0,Transit,2014,Kepler,24.66459711,0.1582,5.67,568,780.256
Kepler-257,0,Transit,2014,Kepler,24.66459711,,4.69,,780.256
Kepler-257,0,Transit,2014,Kepler,24.66439398,,,,780.256
Kepler-257,0,Transit,2014,Kepler,24.66461416,,,,780.256
Kepler-257,0,Transit,2014,Kepler,24.66454505,,,,780.256
Kepler-257,0,Transit,2014,Kepler,24.66459711,0.1582,5.67,568,780.256
Kepler-258,0,Transit,2014,Kepler,13.19721496,0.1027,4.12,641,575.988
Kepler-258,0,Transit,2014,Kepler,13.19720694,,,,575.988
Kepler-258,0,Transit,2014,Kepler,13.19721496,,3.59,,575.988
Kepler-258,0,Transit,2014,Kepler,13.19721496,0.1027,4.12,641,575.988
Kepler-258,0,Transit,2014,Kepler,13.197244,0.097,3.1,562,575.988
Kepler-258,0,Transit,2014,Kepler,13.19720694,0.1027,4.18,642,575.988
Kepler-258,0,Transit,2014,Kepler,,,3.494,,575.988
Kepler-258,1,Transit,2014,Kepler,13.19722,0.103,4.06,,575.988
Kepler-258,0,Transit,2014,Kepler,13.19721496,0.1027,4.12,641,575.988
Kepler-258,0,Transit,2014,Kepler,13.19721444,,,,575.988
Kepler-258,0,Transit,2014,Kepler,13.19728746,,,,575.988
Kepler-258,1,Transit,2014,Kepler,33.653079,0.193,3.61,,575.988
Kepler-258,0,Transit,2014,Kepler,33.6529701,0.1916,3.72,470,575.988
Kepler-258,0,Transit,2014,Kepler,33.65294047,,,,575.988
Kepler-258,0,Transit,2014,Kepler,33.6529701,0.1916,3.72,470,575.988
Kepler-258,0,Transit,2014,Kepler,33.6528474,,,,575.988
Kepler-258,0,Transit,2014,Kepler,33.6529701,0.1916,3.72,470,575.988
Kepler-258,0,Transit,2014,Kepler,33.65292978,,,,575.988
Kepler-258,0,Transit,2014,Kepler,33.65304,0.181,2.4,412,575.988
Kepler-258,0,Transit,2014,Kepler,33.6528474,0.1916,3.05,470,575.988
Kepler-258,0,Transit,2014,Kepler,33.6529701,,3.17,,575.988
Kepler-258,0,Transit,2014,Kepler,,,2.549,,575.988
Kepler-259,0,Transit,2014,Kepler,8.11528727,0.0785,3.1,879,1002.14
Kepler-259,0,Transit,2014,Kepler,,,3.209,,1002.14
Kepler-259,0,Transit,2014,Kepler,8.11529219,0.0785,2.68,879,1002.14
Kepler-259,0,Transit,2014,Kepler,8.11528727,,,,1002.14
Kepler-259,0,Transit,2014,Kepler,8.11531814,,,,1002.14
Kepler-259,0,Transit,2014,Kepler,8.11529219,,2.76,,1002.14
Kepler-259,1,Transit,2014,Kepler,8.115317,0.079,2.8,,1002.14
Kepler-259,0,Transit,2014,Kepler,8.11529219,0.0785,2.68,879,1002.14
Kepler-259,0,Transit,2014,Kepler,8.11526632,,,,1002.14
Kepler-259,0,Transit,2014,Kepler,8.115313,0.079,2.9,888,1002.14
Kepler-259,0,Transit,2014,Kepler,8.11529219,0.0785,2.68,879,1002.14
Kepler-259,0,Transit,2014,Kepler,36.9249531,0.2155,2.71,530,1002.14
Kepler-259,0,Transit,2014,Kepler,36.9250409,,,,1002.14
Kepler-259,0,Transit,2014,Kepler,36.9249531,0.2155,2.71,530,1002.14
Kepler-259,0,Transit,2014,Kepler,36.9250409,0.2155,3.01,530,1002.14
Kepler-259,0,Transit,2014,Kepler,,,3.12,,1002.14
Kepler-259,0,Transit,2014,Kepler,36.9249531,0.2155,2.71,530,1002.14
Kepler-259,0,Transit,2014,Kepler,36.92515874,,,,1002.14
Kepler-259,1,Transit,2014,Kepler,36.924931,0.217,2.7,,1002.14
Kepler-259,0,Transit,2014,Kepler,36.92514966,,,,1002.14
Kepler-259,0,Transit,2014,Kepler,36.92564,0.218,3.1,535,1002.14
Kepler-259,0,Transit,2014,Kepler,36.9249531,,2.76,,1002.14
Kepler-26,0,Transit,2011,Kepler,12.283,,2.73,,335.307
Kepler-26,0,Transit,2011,Kepler,12.28235626,0.08551,2.83,427,335.307
Kepler-26,0,Transit,2011,Kepler,12.283078,0.09,3.08,501,335.307
Kepler-26,0,Transit,2011,Kepler,12.2830153,,,,335.307
Kepler-26,0,Transit,2011,Kepler,12.28,,2.9,,335.307
Kepler-26,0,Transit,2011,Kepler,12.28299972,0.0854,2.89,427,335.307
Kepler-26,0,Transit,2011,Kepler,,,3.693,,335.307
Kepler-26,1,Transit,2011,Kepler,12.28,,2.78,,335.307
Kepler-26,0,Transit,2011,Kepler,12.28299829,,,,335.307
Kepler-26,0,Transit,2011,Kepler,12.28299972,0.0854,2.89,427,335.307
Kepler-26,0,Transit,2011,Kepler,12.28299972,0.0854,2.89,427,335.307
Kepler-26,0,Transit,2011,Kepler,12.28293091,,2.89,,335.307
Kepler-26,0,Transit,2011,Kepler,12.28299972,,3.25,,335.307
Kepler-26,0,Transit,2011,Kepler,12.28299829,0.0847,2.83,431,335.307
Kepler-26,0,Transit,2011,Kepler,12.2829,0.085,3.6,,335.307
Kepler-26,0,Transit,2011,Kepler,,,3.191,,335.307
Kepler-26,0,Transit,2011,Kepler,17.25120011,0.1071,2.82,381,335.307
Kepler-26,0,Transit,2011,Kepler,17.25118601,,,,335.307
Kepler-26,0,Transit,2011,Kepler,17.25116937,,2.51,,335.307
Kepler-26,0,Transit,2011,Kepler,17.25121397,,,,335.307
Kepler-26,0,Transit,2011,Kepler,17.2513,0.107,3.6,,335.307
Kepler-26,0,Transit,2011,Kepler,17.251048,0.112,2.94,449,335.307
Kepler-26,0,Transit,2011,Kepler,17.251,,2.5,,335.307
Kepler-26,0,Transit,2011,Kepler,17.256,,2.51,,335.307
Kepler-26,0,Transit,2011,Kepler,17.251,,2.73,,335.307
Kepler-26,0,Transit,2011,Kepler,17.25121397,0.1063,2.64,385,335.307
Kepler-26,0,Transit,2011,Kepler,17.25120011,,3.18,,335.307
Kepler-26,0,Transit,2011,Kepler,,,3.693,,335.307
Kepler-26,0,Transit,2011,Kepler,17.25204086,0.10725,2.83,381,335.307
Kepler-26,1,Transit,2011,Kepler,17.2559,,2.72,,335.307
Kepler-26,0,Transit,2011,Kepler,17.25120011,0.1071,2.82,381,335.307
Kepler-26,0,Transit,2011,Kepler,17.25120011,0.1071,2.82,381,335.307
Kepler-26,0,Transit,2011,Kepler,,,2.976,,335.307
Kepler-26,0,Transit,2014,Kepler,3.54389817,,,,335.307
Kepler-26,0,Transit,2014,Kepler,3.5439197,0.037,1.21,652,335.307
Kepler-26,0,Transit,2014,Kepler,3.5439197,,,,335.307
Kepler-26,0,Transit,2014,Kepler,,,1.319,,335.307
Kepler-26,0,Transit,2014,Kepler,3.54391789,0.0373,1.23,646,335.307
Kepler-26,0,Transit,2014,Kepler,3.54391789,0.0373,1.23,646,335.307
Kepler-26,0,Transit,2014,Kepler,3.54387093,0.03734,0.98,646,335.307
Kepler-26,0,Transit,2014,Kepler,,,1.36,,335.307
Kepler-26,1,Transit,2014,Kepler,3.543919,0.039,1.07,,335.307
Kepler-26,0,Transit,2014,Kepler,3.54391789,,1.36,,335.307
Kepler-26,0,Transit,2014,Kepler,3.54391419,,1.06,,335.307
Kepler-26,0,Transit,2014,Kepler,3.54391789,0.0373,1.23,646,335.307
Kepler-26,0,Transit,2014,Kepler,3.544,,0.98,,335.307
Kepler-26,0,Transit,2014,Kepler,3.543867,0.039,1.13,761,335.307
Kepler-26,1,Transit,2014,Kepler,46.827915,0.22,2.41,,335.307
Kepler-26,0,Transit,2014,Kepler,46.82767725,,,,335.307
Kepler-26,0,Transit,2014,Kepler,,,2.572,,335.307
Kepler-26,0,Transit,2014,Kepler,46.82787,0.218,2.98,322,335.307
Kepler-26,0,Transit,2014,Kepler,,,2.404,,335.307
Kepler-26,0,Transit,2014,Kepler,46.82766965,,,,335.307
Kepler-26,0,Transit,2014,Kepler,46.82767725,0.2068,2.13,276,335.307
Kepler-26,0,Transit,2014,Kepler,46.827714,0.2085,2.11,273,335.307
Kepler-26,0,Transit,2014,Kepler,46.82763492,,2.1,,335.307
Kepler-26,0,Transit,2014,Kepler,46.828,,1.92,,335.307
Kepler-26,0,Transit,2014,Kepler,46.827714,,2.34,,335.307
Kepler-26,0,Transit,2014,Kepler,46.827714,0.2085,2.11,273,335.307
Kepler-26,0,Transit,2014,Kepler,46.827714,0.2085,2.11,273,335.307
Kepler-260,0,Transit,2014,Kepler,,,2.108,,627.365
Kepler-260,0,Transit,2014,Kepler,8.18746,0.077,2.04,791,627.365
Kepler-260,0,Transit,2014,Kepler,8.1874109,,2.21,,627.365
Kepler-260,0,Transit,2014,Kepler,8.18739443,,,,627.365
Kepler-260,0,Transit,2014,Kepler,8.1873698,,,,627.365
Kepler-260,0,Transit,2014,Kepler,8.1874109,0.0776,2.09,798,627.365
Kepler-260,0,Transit,2014,Kepler,8.18740532,,,,627.365
Kepler-260,0,Transit,2014,Kepler,8.1874109,0.0776,2.09,798,627.365
Kepler-260,0,Transit,2014,Kepler,8.18739443,0.0745,1.92,782,627.365
Kepler-260,0,Transit,2014,Kepler,8.1874109,0.0776,2.09,798,627.365
Kepler-260,1,Transit,2014,Kepler,8.187399,0.075,2.01,,627.365
Kepler-260,0,Transit,2014,Kepler,76.0498163,,,,627.365
Kepler-260,0,Transit,2014,Kepler,76.05068747,,,,627.365
Kepler-260,0,Transit,2014,Kepler,76.0510651,0.343,1.61,379,627.365
Kepler-260,0,Transit,2014,Kepler,76.0510651,0.343,1.61,379,627.365
Kepler-260,0,Transit,2014,Kepler,76.0510651,0.343,1.61,379,627.365
Kepler-260,0,Transit,2014,Kepler,76.0510651,,1.73,,627.365
Kepler-260,0,Transit,2014,Kepler,76.0498163,0.329,1.75,372,627.365
Kepler-260,1,Transit,2014,Kepler,76.050178,0.332,1.74,,627.365
Kepler-260,0,Transit,2014,Kepler,,,1.917,,627.365
Kepler-260,0,Transit,2014,Kepler,76.05145255,,,,627.365
Kepler-260,0,Transit,2014,Kepler,76.0503,0.34,1.69,376,627.365
Kepler-261,0,Transit,2014,Kepler,,,2.094,,317.499
Kepler-261,0,Transit,2014,Kepler,10.38123451,0.0886,2.23,678,317.499
Kepler-261,0,Transit,2014,Kepler,10.38123451,,2.26,,317.499
Kepler-261,0,Transit,2014,Kepler,10.38123233,,,,317.499
Kepler-261,0,Transit,2014,Kepler,10.38121981,,,,317.499
Kepler-261,0,Transit,2014,Kepler,10.38122447,0.0871,2.18,672,317.499
Kepler-261,0,Transit,2014,Kepler,10.38122447,,,,317.499
Kepler-261,0,Transit,2014,Kepler,10.381209,0.089,2.21,690,317.499
Kepler-261,0,Transit,2014,Kepler,10.38123451,0.0886,2.23,678,317.499
Kepler-261,0,Transit,2014,Kepler,10.38123451,0.0886,2.23,678,317.499
Kepler-261,1,Transit,2014,Kepler,10.381227,0.088,2.18,,317.499
Kepler-261,0,Transit,2014,Kepler,24.57081569,,2.17,,317.499
Kepler-261,1,Transit,2014,Kepler,24.570858,0.156,2,,317.499
Kepler-261,0,Transit,2014,Kepler,24.57041787,,,,317.499
Kepler-261,0,Transit,2014,Kepler,24.5709023,,,,317.499
Kepler-261,0,Transit,2014,Kepler,24.57078,0.158,2.17,518,317.499
Kepler-261,0,Transit,2014,Kepler,24.57081569,0.1574,2.1,509,317.499
Kepler-261,0,Transit,2014,Kepler,24.57079771,,,,317.499
Kepler-261,0,Transit,2014,Kepler,,,2.712,,317.499
Kepler-261,0,Transit,2014,Kepler,24.57081569,0.1574,2.1,509,317.499
Kepler-261,0,Transit,2014,Kepler,24.5709023,0.1547,2.82,505,317.499
Kepler-261,0,Transit,2014,Kepler,24.57081569,0.1574,2.1,509,317.499
Kepler-262,0,Transit,2014,Kepler,13.0607936,0.1075,1.45,734,613.129
Kepler-262,0,Transit,2014,Kepler,13.06076688,0.1075,1.49,734,613.129
Kepler-262,0,Transit,2014,Kepler,13.06076688,0.1075,1.49,734,613.129
Kepler-262,0,Transit,2014,Kepler,13.06062,0.108,1.3,732,613.129
Kepler-262,0,Transit,2014,Kepler,13.06078532,,,,613.129
Kepler-262,0,Transit,2014,Kepler,13.0607936,,,,613.129
Kepler-262,1,Transit,2014,Kepler,13.060855,0.108,1.36,,613.129
Kepler-262,0,Transit,2014,Kepler,13.06076688,0.1075,1.49,734,613.129
Kepler-262,0,Transit,2014,Kepler,,,1.361,,613.129
Kepler-262,0,Transit,2014,Kepler,13.06076688,,1.83,,613.129
Kepler-262,0,Transit,2014,Kepler,13.06099268,,,,613.129
Kepler-262,0,Transit,2014,Kepler,21.8536791,0.1515,1.74,618,613.129
Kepler-262,0,Transit,2014,Kepler,21.85347,0.152,1.69,617,613.129
Kepler-262,0,Transit,2014,Kepler,21.8536791,0.1515,1.74,618,613.129
Kepler-262,0,Transit,2014,Kepler,21.85362905,0.1515,1.75,618,613.129
Kepler-262,1,Transit,2014,Kepler,21.853722,0.152,1.64,,613.129
Kepler-262,0,Transit,2014,Kepler,21.85378912,,,,613.129
Kepler-262,0,Transit,2014,Kepler,21.85363022,,,,613.129
Kepler-262,0,Transit,2014,Kepler,21.85362905,,,,613.129
Kepler-262,0,Transit,2014,Kepler,,,1.648,,613.129
Kepler-262,0,Transit,2014,Kepler,21.8536791,0.1515,1.74,618,613.129
Kepler-262,0,Transit,2014,Kepler,21.8536791,,2.06,,613.129
Kepler-263,0,Transit,2014,Kepler,16.56824481,,,,754.747
Kepler-263,0,Transit,2014,Kepler,,,2.583,,754.747
Kepler-263,0,Transit,2014,Kepler,16.56805949,0.1195,2.81,594,754.747
Kepler-263,0,Transit,2014,Kepler,16.56806842,0.1155,2.54,548,754.747
Kepler-263,0,Transit,2014,Kepler,16.56805949,,3.07,,754.747
Kepler-263,0,Transit,2014,Kepler,16.56808299,,,,754.747
Kepler-263,1,Transit,2014,Kepler,16.568087,0.12,2.67,,754.747
Kepler-263,0,Transit,2014,Kepler,16.56806842,,,,754.747
Kepler-263,0,Transit,2014,Kepler,16.56805949,0.1195,2.81,594,754.747
Kepler-263,0,Transit,2014,Kepler,16.56805949,0.1195,2.81,594,754.747
Kepler-263,0,Transit,2014,Kepler,16.56806,0.118,2.66,592,754.747
Kepler-263,0,Transit,2014,Kepler,47.3330262,0.2407,2.4,418,754.747
Kepler-263,0,Transit,2014,Kepler,47.3330262,,2.62,,754.747
Kepler-263,0,Transit,2014,Kepler,47.3329299,,,,754.747
Kepler-263,0,Transit,2014,Kepler,47.3330262,0.2407,2.4,418,754.747
Kepler-263,0,Transit,2014,Kepler,,,2.217,,754.747
Kepler-263,0,Transit,2014,Kepler,47.33304842,,,,754.747
Kepler-263,0,Transit,2014,Kepler,47.3330262,0.2407,2.4,418,754.747
Kepler-263,0,Transit,2014,Kepler,47.33375115,,,,754.747
Kepler-263,1,Transit,2014,Kepler,47.332773,0.242,2.47,,754.747
Kepler-263,0,Transit,2014,Kepler,47.33465,0.238,2.89,417,754.747
Kepler-263,0,Transit,2014,Kepler,47.3329299,0.2326,2.18,386,754.747
Kepler-264,1,Transit,2014,Kepler,40.806231,0.249,3.33,,942.173
Kepler-264,0,Transit,2014,Kepler,40.80657815,,,,942.173
Kepler-264,0,Transit,2014,Kepler,40.8068494,,4.19,,942.173
Kepler-264,0,Transit,2014,Kepler,40.8068494,0.2542,4.86,844,942.173
Kepler-264,0,Transit,2014,Kepler,40.8068494,0.2542,4.86,844,942.173
Kepler-264,0,Transit,2014,Kepler,40.8065333,0.2641,3.71,772,942.173
Kepler-264,0,Transit,2014,Kepler,40.80686,0.258,4.8,843,942.173
Kepler-264,0,Transit,2014,Kepler,,,3.523,,942.173
Kepler-264,0,Transit,2014,Kepler,40.8068494,0.2542,4.86,844,942.173
